Fecha;ID;NOME;CASOS_14_DIAS;NIVEL_14_DIAS
;34121515035;FENE; entre 1 e 9;Incidencia acumulada para o concello: <=25
;34121515036;FERROL; 33;Incidencia acumulada para o concello: >50 e <=150
;34121515037;FISTERRA;0;Incidencia acumulada para o concello: <=25
;34121515038;FRADES;0;Incidencia acumulada para o concello: <=25
;34121515039;IRIXOA;0;Incidencia acumulada para o concello: <=25
;34121515040;LAXE; entre 1 e 9;Incidencia acumulada para o concello: >25 e <=50
;34121515041;LARACHA; 18;Incidencia acumulada para o concello: >150 e <=250
;34121515042;LOUSAME;0;Incidencia acumulada para o concello: <=25
;34121515043;MALPICA DE BERGANTIÑOS; entre 1 e 9;Incidencia acumulada para o concello: >25 e <=50
;34121515044;MAÑON; entre 1 e 9;Incidencia acumulada para o concello: >150 e <=250
;34121515045;MAZARICOS;0;Incidencia acumulada para o concello: <=25
;34121515046;MELIDE; 10;Incidencia acumulada para o concello: >50 e <=150
;34121515047;MESIA; 10;Incidencia acumulada para o concello: >250 e <=500
;34121515048;MIÑO; entre 1 e 9;Incidencia acumulada para o concello: <=25
;34121515049;MOECHE;0;Incidencia acumulada para o concello: <=25
;34121515050;MONFERO;0;Incidencia acumulada para o concello: <=25
;34121515051;MUGARDOS; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
;34121515052;MUXIA;0;Incidencia acumulada para o concello: <=25
;34121515053;MUROS; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
;34121515054;NARON; 12;Incidencia acumulada para o concello: >25 e <=50
;34121515055;NEDA; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
;34121515056;NEGREIRA; entre 1 e 9;Incidencia acumulada para o concello: <=25
;34121515057;NOIA; 10;Incidencia acumulada para o concello: >50 e <=150
;34121515058;OLEIROS; 46;Incidencia acumulada para o concello: >50 e <=150
;34121515059;ORDES; 19;Incidencia acumulada para o concello: >150 e <=250
;34121515060;OROSO; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
;34121515061;ORTIGUEIRA; entre 1 e 9;Incidencia acumulada para o concello: <=25
;34121515062;OUTES;0;Incidencia acumulada para o concello: <=25
;34121515064;PADERNE; entre 1 e 9;Incidencia acumulada para o concello: >25 e <=50
;34121515065;PADRON; 15;Incidencia acumulada para o concello: >150 e <=250
;34121515066;PINO (O);0;Incidencia acumulada para o concello: <=25
;34121515067;POBRA DO CARAMIÑAL A; 16;Incidencia acumulada para o concello: >150 e <=250
;34121515068;PONTECESO;0;Incidencia acumulada para o concello: <=25
;34121515069;PONTEDEUME; entre 1 e 9;Incidencia acumulada para o concello: <=25
